#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
3.000000,  0.00,     1150.0,   0.2460E+26
3.000000,  0.00,     1155.0,   0.2051E+26
3.000000,  0.00,     1160.0,   0.1524E+26
3.000000,  0.00,     1165.0,   0.8229E+25
3.000000,  0.00,     1170.0,   0.7582E+25
3.000000,  0.00,     1175.0,   0.8059E+25
3.000000,  0.00,     1180.0,   0.6155E+25
3.000000,  0.00,     1185.0,   0.3440E+25
3.000000,  0.00,     1190.0,   0.1224E+25
3.000000,  0.00,     1195.0,   0.5145E+25
3.000000,  0.00,     1200.0,   0.2257E+26
3.000000,  0.00,     1205.0,   0.1275E+27
3.000000,  0.00,     1210.0,   0.3992E+27
3.000000,  0.00,     1215.0,   0.5175E+27
3.000000,  0.00,     1220.0,   0.2476E+27
3.000000,  0.00,     1225.0,   0.3863E+26
3.000000,  0.00,     1230.0,   0.5458E+25
3.000000,  0.00,     1235.0,   0.4616E+25
3.000000,  0.00,     1240.0,   0.4757E+25
3.000000,  0.00,     1245.0,   0.3153E+25
3.000000,  0.00,     1250.0,   0.2508E+25
3.000000,  0.00,     1255.0,   0.2216E+25
3.000000,  0.00,     1260.0,   0.3077E+25
3.000000,  0.00,     1265.0,   0.2115E+25
3.000000,  0.00,     1270.0,   0.1026E+25
3.000000,  0.00,     1275.0,   0.1594E+25
3.000000,  0.00,     1280.0,   0.2330E+25
3.000000,  0.00,     1285.0,   0.2076E+25
3.000000,  0.00,     1290.0,   0.1560E+25
3.000000,  0.00,     1295.0,   0.1658E+25
3.000000,  0.00,     1300.0,   0.5404E+25
3.000000,  0.00,     1305.0,   0.6581E+25
3.000000,  0.00,     1310.0,   0.2827E+25
3.000000,  0.00,     1315.0,   0.1904E+25
3.000000,  0.00,     1320.0,   0.1591E+25
3.000000,  0.00,     1325.0,   0.2053E+25
3.000000,  0.00,     1330.0,   0.4907E+25
3.000000,  0.00,     1335.0,   0.8915E+25
3.000000,  0.00,     1340.0,   0.3000E+25
3.000000,  0.00,     1345.0,   0.8302E+24
3.000000,  0.00,     1350.0,   0.1440E+25
3.000000,  0.00,     1355.0,   0.2135E+25
3.000000,  0.00,     1360.0,   0.2028E+25
3.000000,  0.00,     1365.0,   0.1883E+25
3.000000,  0.00,     1370.0,   0.1233E+25
3.000000,  0.00,     1375.0,   0.1252E+25
3.000000,  0.00,     1380.0,   0.1553E+25
3.000000,  0.00,     1385.0,   0.1828E+25
3.000000,  0.00,     1390.0,   0.2891E+25
3.000000,  0.00,     1395.0,   0.3831E+25
3.000000,  0.00,     1400.0,   0.3124E+25
3.000000,  0.00,     1405.0,   0.3767E+25
3.000000,  0.00,     1410.0,   0.2631E+25
3.000000,  0.00,     1415.0,   0.1738E+25
3.000000,  0.00,     1420.0,   0.1660E+25
3.000000,  0.00,     1425.0,   0.2276E+25
3.000000,  0.00,     1430.0,   0.2377E+25
3.000000,  0.00,     1435.0,   0.1777E+25
3.000000,  0.00,     1440.0,   0.2259E+25
3.000000,  0.00,     1445.0,   0.3434E+25
3.000000,  0.00,     1450.0,   0.3540E+25
3.000000,  0.00,     1455.0,   0.2507E+25
3.000000,  0.00,     1460.0,   0.1923E+25
3.000000,  0.00,     1465.0,   0.2736E+25
3.000000,  0.00,     1470.0,   0.3884E+25
3.000000,  0.00,     1475.0,   0.3630E+25
3.000000,  0.00,     1480.0,   0.3181E+25
3.000000,  0.00,     1485.0,   0.4262E+25
3.000000,  0.00,     1490.0,   0.4144E+25
3.000000,  0.00,     1495.0,   0.4324E+25
3.000000,  0.00,     1500.0,   0.4030E+25
3.000000,  0.00,     1505.0,   0.3055E+25
3.000000,  0.00,     1510.0,   0.3174E+25
3.000000,  0.00,     1515.0,   0.3091E+25
3.000000,  0.00,     1520.0,   0.3220E+25
3.000000,  0.00,     1525.0,   0.3629E+25
3.000000,  0.00,     1530.0,   0.4764E+25
3.000000,  0.00,     1535.0,   0.4782E+25
3.000000,  0.00,     1540.0,   0.4263E+25
3.000000,  0.00,     1545.0,   0.1079E+26
3.000000,  0.00,     1550.0,   0.1304E+26
3.000000,  0.00,     1555.0,   0.5534E+25
3.000000,  0.00,     1560.0,   0.4837E+25
3.000000,  0.00,     1565.0,   0.4003E+25
3.000000,  0.00,     1570.0,   0.3293E+25
3.000000,  0.00,     1575.0,   0.4470E+25
3.000000,  0.00,     1580.0,   0.3916E+25
3.000000,  0.00,     1585.0,   0.3759E+25
3.000000,  0.00,     1590.0,   0.3376E+25
3.000000,  0.00,     1595.0,   0.3330E+25
3.000000,  0.00,     1600.0,   0.3494E+25
3.000000,  0.00,     1605.0,   0.4229E+25
3.000000,  0.00,     1610.0,   0.3143E+25
3.000000,  0.00,     1615.0,   0.2784E+25
3.000000,  0.00,     1620.0,   0.2391E+25
3.000000,  0.00,     1625.0,   0.3360E+25
3.000000,  0.00,     1630.0,   0.4555E+25
3.000000,  0.00,     1635.0,   0.6465E+25
3.000000,  0.00,     1640.0,   0.8289E+25
3.000000,  0.00,     1645.0,   0.4770E+25
3.000000,  0.00,     1650.0,   0.4180E+25
3.000000,  0.00,     1655.0,   0.8447E+25
3.000000,  0.00,     1660.0,   0.9210E+25
3.000000,  0.00,     1665.0,   0.6228E+25
3.000000,  0.00,     1670.0,   0.5460E+25
3.000000,  0.00,     1675.0,   0.4044E+25
3.000000,  0.00,     1680.0,   0.3897E+25
3.000000,  0.00,     1685.0,   0.3912E+25
3.000000,  0.00,     1690.0,   0.4352E+25
3.000000,  0.00,     1695.0,   0.5355E+25
3.000000,  0.00,     1700.0,   0.5806E+25
3.000000,  0.00,     1705.0,   0.5592E+25
3.000000,  0.00,     1710.0,   0.5678E+25
3.000000,  0.00,     1715.0,   0.6205E+25
3.000000,  0.00,     1720.0,   0.5871E+25
3.000000,  0.00,     1725.0,   0.5579E+25
3.000000,  0.00,     1730.0,   0.5489E+25
3.000000,  0.00,     1735.0,   0.6325E+25
3.000000,  0.00,     1740.0,   0.6829E+25
3.000000,  0.00,     1745.0,   0.7387E+25
3.000000,  0.00,     1750.0,   0.8019E+25
3.000000,  0.00,     1755.0,   0.8246E+25
3.000000,  0.00,     1760.0,   0.8377E+25
3.000000,  0.00,     1765.0,   0.8415E+25
3.000000,  0.00,     1770.0,   0.8829E+25
3.000000,  0.00,     1775.0,   0.9602E+25
3.000000,  0.00,     1780.0,   0.9269E+25
3.000000,  0.00,     1785.0,   0.8550E+25
3.000000,  0.00,     1790.0,   0.6770E+25
3.000000,  0.00,     1795.0,   0.8548E+25
3.000000,  0.00,     1800.0,   0.1072E+26
3.000000,  0.00,     1805.0,   0.1530E+26
3.000000,  0.00,     1810.0,   0.1921E+26
3.000000,  0.00,     1815.0,   0.2401E+26
3.000000,  0.00,     1820.0,   0.2353E+26
3.000000,  0.00,     1825.0,   0.1509E+26
3.000000,  0.00,     1830.0,   0.1347E+26
3.000000,  0.00,     1835.0,   0.1365E+26
3.000000,  0.00,     1840.0,   0.1346E+26
3.000000,  0.00,     1845.0,   0.1244E+26
3.000000,  0.00,     1850.0,   0.1283E+26
3.000000,  0.00,     1855.0,   0.1406E+26
3.000000,  0.00,     1860.0,   0.1508E+26
3.000000,  0.00,     1865.0,   0.1632E+26
3.000000,  0.00,     1870.0,   0.1769E+26
3.000000,  0.00,     1875.0,   0.1671E+26
3.000000,  0.00,     1880.0,   0.1732E+26
3.000000,  0.00,     1885.0,   0.1801E+26
3.000000,  0.00,     1890.0,   0.2013E+26
3.000000,  0.00,     1895.0,   0.2026E+26
3.000000,  0.00,     1900.0,   0.1963E+26
3.000000,  0.00,     1905.0,   0.1418E+26
3.000000,  0.00,     1910.0,   0.1492E+26
3.000000,  0.00,     1915.0,   0.1564E+26
3.000000,  0.00,     1920.0,   0.1650E+26
3.000000,  0.00,     1925.0,   0.1613E+26
