wavelength,transition,gf,E2_cm-1,E2_J
5197.577,G,7.920E-03,45314.801,9.0015397E-19
5234.625,G,8.800E-03,45104.879,8.9598399E-19
5264.812,G,1.080E-03,45044.168,8.9477799E-19
5276.002,G,1.148E-02,44778.799,8.8950658E-19
5316.615,G,1.170E-02,44232.512,8.7865489E-19
5316.784,G,1.230E-03,44784.761,8.8962501E-19
5325.553,G,6.020E-04,44753.799,8.8900997E-19
5337.732,G,1.280E-04,44784.761,8.8962501E-19
5362.869,G,1.820E-03,44446.878,8.8291315E-19
5414.073,G,1.600E-04,44446.878,8.8291315E-19
5425.257,G,4.360E-04,44232.512,8.7865489E-19
