#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     1150.0,   0.1323E+26
5.000000,  0.00,     1155.0,   0.9202E+25
5.000000,  0.00,     1160.0,   0.7104E+25
5.000000,  0.00,     1165.0,   0.7149E+25
5.000000,  0.00,     1170.0,   0.7032E+25
5.000000,  0.00,     1175.0,   0.7524E+25
5.000000,  0.00,     1180.0,   0.3829E+25
5.000000,  0.00,     1185.0,   0.1778E+25
5.000000,  0.00,     1190.0,   0.1173E+25
5.000000,  0.00,     1195.0,   0.4423E+25
5.000000,  0.00,     1200.0,   0.1922E+26
5.000000,  0.00,     1205.0,   0.1155E+27
5.000000,  0.00,     1210.0,   0.3480E+27
5.000000,  0.00,     1215.0,   0.4321E+27
5.000000,  0.00,     1220.0,   0.1981E+27
5.000000,  0.00,     1225.0,   0.3036E+26
5.000000,  0.00,     1230.0,   0.4404E+25
5.000000,  0.00,     1235.0,   0.3617E+25
5.000000,  0.00,     1240.0,   0.3849E+25
5.000000,  0.00,     1245.0,   0.2529E+25
5.000000,  0.00,     1250.0,   0.2053E+25
5.000000,  0.00,     1255.0,   0.1814E+25
5.000000,  0.00,     1260.0,   0.2674E+25
5.000000,  0.00,     1265.0,   0.2025E+25
5.000000,  0.00,     1270.0,   0.9298E+24
5.000000,  0.00,     1275.0,   0.1331E+25
5.000000,  0.00,     1280.0,   0.1571E+25
5.000000,  0.00,     1285.0,   0.1398E+25
5.000000,  0.00,     1290.0,   0.1382E+25
5.000000,  0.00,     1295.0,   0.1479E+25
5.000000,  0.00,     1300.0,   0.4883E+25
5.000000,  0.00,     1305.0,   0.6209E+25
5.000000,  0.00,     1310.0,   0.2456E+25
5.000000,  0.00,     1315.0,   0.1374E+25
5.000000,  0.00,     1320.0,   0.1179E+25
5.000000,  0.00,     1325.0,   0.1730E+25
5.000000,  0.00,     1330.0,   0.4346E+25
5.000000,  0.00,     1335.0,   0.8361E+25
5.000000,  0.00,     1340.0,   0.2803E+25
5.000000,  0.00,     1345.0,   0.8028E+24
5.000000,  0.00,     1350.0,   0.1325E+25
5.000000,  0.00,     1355.0,   0.1771E+25
5.000000,  0.00,     1360.0,   0.1580E+25
5.000000,  0.00,     1365.0,   0.1359E+25
5.000000,  0.00,     1370.0,   0.9081E+24
5.000000,  0.00,     1375.0,   0.7742E+24
5.000000,  0.00,     1380.0,   0.1003E+25
5.000000,  0.00,     1385.0,   0.1339E+25
5.000000,  0.00,     1390.0,   0.2667E+25
5.000000,  0.00,     1395.0,   0.3226E+25
5.000000,  0.00,     1400.0,   0.2360E+25
5.000000,  0.00,     1405.0,   0.2786E+25
5.000000,  0.00,     1410.0,   0.1884E+25
5.000000,  0.00,     1415.0,   0.1507E+25
5.000000,  0.00,     1420.0,   0.1579E+25
5.000000,  0.00,     1425.0,   0.1913E+25
5.000000,  0.00,     1430.0,   0.1685E+25
5.000000,  0.00,     1435.0,   0.1293E+25
5.000000,  0.00,     1440.0,   0.1506E+25
5.000000,  0.00,     1445.0,   0.2014E+25
5.000000,  0.00,     1450.0,   0.2306E+25
5.000000,  0.00,     1455.0,   0.1805E+25
5.000000,  0.00,     1460.0,   0.1586E+25
5.000000,  0.00,     1465.0,   0.2239E+25
5.000000,  0.00,     1470.0,   0.3006E+25
5.000000,  0.00,     1475.0,   0.2742E+25
5.000000,  0.00,     1480.0,   0.2359E+25
5.000000,  0.00,     1485.0,   0.3481E+25
5.000000,  0.00,     1490.0,   0.3302E+25
5.000000,  0.00,     1495.0,   0.3419E+25
5.000000,  0.00,     1500.0,   0.3199E+25
5.000000,  0.00,     1505.0,   0.2292E+25
5.000000,  0.00,     1510.0,   0.2358E+25
5.000000,  0.00,     1515.0,   0.2312E+25
