na_line,na_wavelength,na_relative_intensity
Fe II 113,3564.54,0.04
Fe II],3572.97,0.07
Fe II,3589.48,0.04
Fe II]111,3661.17,0.08
Fe II],3693.93,0.02
Fe II]131,3699.90,0.02
Fe II] 23,3720.17,0.06
Fe II],3722.47,0.04
Fe II 192,3727.04,0.07
Fe II 154,3748.48,0.12
Fe II  29,3764.09,0.01
Fe II 192,3778.37,0.03
Fe II] 14,3783.34,0.15
Fe II] 14,3821.92,0.13
Fe II  29,3824.91,0.03
Fe II 153,3827.08,0.13
Fe II] 23,3833.01,0.05
Fe II  29,3872.77,0.11
Fe II],3875.45,0.05
Fe II],3879.02,0.19
Fe II],3884.56,0.25
Fe II]  3,3914.48,0.15
Fe II]  3,3930.31,0.13
Fe II],3933.86,0.14
Fe II]  3,3938.29,0.17
Fe II]  3,3945.21,0.04
Fe II]  3,3966.43,0.07
Fe II  29,3974.16,0.06
Fe II]  3,3981.61,0.06
Fe II 126,4032.95,0.01
Fe II] 23F,4114.47,0.05
Fe II,4114.55,0.03
Fe II  28,4122.64,0.17
Fe II  27,4128.73,0.16
Fe II] 21F,4146.65,0.00
Fe II]149,4167.69,0.03
Fe II  27,4173.45,0.23
Fe II] 21F,4177.21,0.03
Fe II] 21,4177.70,0.13
Fe II  28,4178.86,0.13
Fe II] 23F,4178.96,0.01
Fe II] 21,4183.20,0.09
Fe II],4190.96,0.05
Fe II],4204.48,0.05
Fe II] 45,4227.17,0.12
Fe II] 21F,4231.56,0.00
Fe II  27,4233.17,0.40
Fe II],4237.57,0.11
Fe II] 21F,4243.97,0.23
Fe II] 21F,4244.81,0.05
Fe II,4247.24,0.09
Fe II] 23F,4251.44,0.01
Fe II 220,4259.32,0.08
Fe II] 21F,4276.83,0.14
Fe II]  7F,4287.39,0.22
Fe II  28,4296.57,0.05
Fe II  27,4303.17,0.08
Fe II] 21F,4305.89,0.04
Fe II  32,4314.29,0.10
Fe II] 21F,4319.62,0.09
Fe II 220,4319.68,0.05
Fe II] 20,4327.04,0.10
Fe II] 202,4346.51,0.04
Fe II] 21F,4346.85,0.05
Fe II  27,4351.76,0.40
Fe II] 21F,4352.78,0.06
Fe II] 21F,4358.36,0.09
Fe II] 202,4359.12,0.21
Fe II]  7F,4359.34,0.16
Fe II] 21F,4372.43,0.05
Fe II]  6F,4382.74,0.03
Fe II  27,4385.38,0.26
Fe II]  7F,4413.78,0.11
Fe II]  6F,4416.27,0.31
Fe II]  6F,4432.45,0.02
Fe II],4432.84,0.05
Fe II 222,4440.76,0.04
Fe II,4452.01,0.10
Fe II]  7F,4452.11,0.07
Fe II]  6F,4457.94,0.15
Fe II]  7F,4474.90,0.03
Fe II]  6F,4488.75,0.06
Fe II  37,4489.18,0.17
Fe II  37,4491.40,0.17
Fe II]  6F,4492.63,0.04
Fe II  38,4508.28,0.09
Fe II  37,4515.34,0.12
Fe II  37,4520.22,0.14
Fe II  38,4522.63,0.19
Fe II]  6F,4528.38,0.02
Fe II  37,4534.17,0.12
Fe II  38,4541.52,0.16
Fe II  38,4549.47,0.19
Fe II  37,4555.89,0.14
Fe II  38,4576.34,0.11
Fe II  37,4582.83,0.02
Fe II  38,4583.83,0.26
