br_line,br_wavelength,br_relative_intensity
Fe II 113,3564.53,0.11
Fe II,3589.48,0.11
Fe II]112,3614.87,0.12
Fe II 193,3627.17,0.11
Fe II,3649.39,0.08
Fe II],3732.88,0.08
Fe II  29,3764.09,0.19
Fe II,4093.66,0.06
Fe II  28,4178.86,0.07
Fe II  28,4258.16,0.04
Fe II  32,4278.1,0.09
Fe II  28,4296.57,0.07
Fe II  27,4303.17,0.12
Fe II  32,4314.29,0.05
Fe II  28,4369.4,0.12
Fe II  27,4385.38,0.05
Fe II,4403.03,0.09
Fe II  27,4416.82,0.09
Fe II  37,4472.92,0.21
Fe II  37,4489.18,0.04
Fe II  37,4491.4,0.04
Fe II  38,4508.28,0.14
Fe II  37,4515.34,0.1
Fe II  37,4520.22,0.1
Fe II  38,4522.63,0.1
Fe II  37,4534.17,0.07
Fe II  38,4549.47,0.07
Fe II  37,4555.89,0.14
Fe II  38,4576.33,0.07
Fe II  37,4582.83,0.08
Fe II  38,4583.83,0.08
Fe II  38,4595.68,0.07
Fe II] 43,4601.41,0.04
Fe II  38,4620.51,0.1
Fe II  37,4629.34,0.17
Fe II] 43,4656.97,0.13
Fe II  37,4666.75,0.12
Fe II] 26,4713.18,0.03
Fe II] 54,4720.15,0.01
Fe II] 43,4731.44,0.05
Fe II] 54,4886.93,0.04
Fe II  42,4923.92,0.18
Fe II  42,5018.45,0.18
Fe II,5030.64,0.11
Fe II] 35,5132.67,0.13
Fe II] 35,5154.4,0.11
Fe II  42,5169.03,0.18
Fe II  49,5197.57,0.15
Fe II  49,5234.62,0.15
Fe II  41,5238.58,0.05
Fe II  49,5254.92,0.01
Fe II  41,5256.89,0.01
Fe II  48,5264.8,0.17
Fe II  49,5275.99,0.08
Fe II  41,5284.09,0.12
Fe II  49,5316.61,0.19
Fe II  48,5316.78,0.06
Fe II  48,5337.71,0.12
Fe II  48,5362.86,0.08
Fe II  48,5414.09,0.07
Fe II  49,5425.27,0.04
Fe II] 55,5432.98,0.09
Fe II,5505.25,0.07
Fe II] 55,5534.83,0.15
Fe II,5738.18,0.01
Fe II 217,5955.51,0.02
Fe II] 46,5991.39,0.05
Fe II] 46,6044.53,0.03
Fe II] 46,6113.32,0.02
Fe II] 46,6116.04,0.02
Fe II] 46,6129.71,0.01
Fe II  74,6147.74,0.03
Fe II  74,6149.25,0.03
Fe II,6157.12,0.04
Fe II] 46,6178.14,0.02
Fe II] 46,6185.34,0.02
Fe II  74,6238.37,0.05
Fe II  74,6247.55,0.13
Fe II,6278.22,0.02
Fe II] 34,6307.53,0.07
Fe II,6317.99,0.05
Fe II,6336.95,0.04
Fe II  40,6369.45,0.04
Fe II,6385.45,0.05
Fe II,6402.9,0.02
Fe II  74,6407.3,0.02
Fe II  74,6416.89,0.05
Fe II  40,6432.68,0.06
Fe II,6442.95,0.02
Fe II  74,6456.39,0.14
Fe II,6491.28,0.07
Fe II],6500.63,0.06
Fe II  40,6516.07,0.08
Fe II,6598.3,0.21
Fe II,6623.07,0.06
Fe II],6644.25,0.03
Fe II,6993.43,0.01
Fe II,7008.69,0.03
Fe II,7054.53,0.05
Fe II,7080.47,0.02
